peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
7.27,2281742.8023829707,2479981.585418416,2394250.8271914828,2136244.8232836993,2384596.284304974,2272741.3821773077,2127455.8096879455,2415664.2690567113,2239017.9943403965,2779528.9255390326,3296429.120638333,2694866.8375035413,2296705.480432608,2473622.5886595515,2347042.9097872195,1967321.9270212722,2588193.0875460687,2370242.3067517425,1449197.609390068,1887596.986524839,1670630.5944680774,1515630.290751774,1755583.5456879386,1838463.2639928958,1931698.874751749,2141338.696234026,2146622.2772481907,2248885.724340423,2980057.8986666375,2788395.61670213,2973111.059510625,3488954.9957162533,2182688.6839149212,2585940.0688510747,2915703.631999992,2615775.161829779
7.43,1052611.3866666595,1238892.7226666664,1338920.543999993,999028.0293333319,1335637.4114113569,1425667.870198584,1003589.9371063842,1451663.080000003,1501701.1185248226,1070519.0011560314,1254518.4540212823,1436804.1774255391,957430.1175673732,1242675.2719999957,1344363.2761205637,1159737.3006879452,1662175.4810425455,1711758.847999997,1056604.871900713,1468864.4611489489,1560255.81732625,1190546.0970070935,1692564.9203404433,1906703.794666683,1045116.9946666645,1501779.7059858232,1629015.4020425337,1315117.2435957459,1415209.3333333267,1526477.0613333455,1004555.2548156051,1394430.10868086,1295408.3349078107,1008876.2755886588,1410231.7410921964,1499533.830099286
7.51,780019.0390992917,890129.7179858226,938587.0143546105,650646.1565673798,874573.454297876,904669.3741560339,673299.6056312056,914485.9225531975,901013.7550709279,1112487.2438581607,1321661.6897517897,1359694.6068085255,916685.4291773062,1160151.8685957592,1238987.7742837025,752918.3705390141,1079174.7772411457,1079300.4749078113,461474.2437446796,622758.9630780141,583899.8946453917,460983.31546099193,616939.7219716315,667732.2672340429,508570.52718439756,669203.1750922,686722.9944539024,819131.5135957514,1057241.5948368818,1089837.3160851072,828717.8861844011,1122568.219652486,928300.8995602876,803922.1787021358,1133477.9767305013,1158172.3208227067
7.58,44224519.18019261,66197795.266668655,70231374.9971227,57749032.079249874,78193105.87211497,83416830.55557616,65290925.77333387,87083290.44175929,87385590.83340557,58075477.37595871,77489093.60490285,80223140.82604401,56859311.69461048,74391399.72266883,79359959.06921326,52391886.633661464,72381870.3557381,72671688.66154648,54923330.05697991,79698418.00000054,78876199.96184579,53544283.047469586,71701621.40227899,76728036.46168895,56884915.11466703,76992096.55474542,77298358.31733572,45881216.59245483,68420866.31062658,73591141.4252783,59954786.736001536,86802408.13066849,77262727.67350481,51850380.683447495,71049615.92340504,73570178.33125073
7.69,970017.35129078,1176272.3679999982,1227247.7653333254,928339.6584893698,1203427.7915532028,1236730.0311063754,933339.3824255305,1172245.253411345,1152256.30475177,1210116.8388368834,1382118.3479432592,1503954.2253333481,1107805.9412198528,1363274.1119999988,1430151.6673475096,898072.0940567405,1307367.28056737,1272702.7600000007,847168.5576666746,1140890.6986666722,1106838.5677163138,820529.729333334,1049402.8564964605,1103700.746255324,841616.8826666608,1094643.3378581612,1085937.9447375876,1277207.8861985947,1595401.3573333162,1601682.243290767,1177216.4875744637,1562409.1116241144,1418681.2850496466,1127324.647319154,1513679.8278439627,1490570.4981205666
7.73,1121126.538312049,1236009.32842552,1353312.0032411234,967790.1025319078,1246456.8680212721,1315191.2559999942,982092.3278297853,1296870.3660851077,1270721.2699007075,1115477.826666663,1228070.1786666582,1327298.7463546095,999910.3466666649,1265360.1797304873,1321182.02259574,960500.5834893499,1373570.5763971615,1332977.133333334,948524.6445744593,1233919.1530780068,1190437.5536879324,912587.5937304856,1171132.3078439606,1238531.9479645356,922594.2664964567,1250415.5625319115,1282718.7217375876,1170968.6261134725,1355303.8886170103,1371545.1899432538,1004208.4212482171,1356694.2660709103,1197101.923163114,989197.0719999949,1360168.3636879402,1356617.1626666544
7.84,952617.0107234113,1051000.3630354682,1130587.6023829903,863340.650468085,1093175.4637730506,1128775.9893475324,791610.3866666736,1033994.1306595755,1068120.2287163138,1013018.7674397173,1209161.6750638462,1341141.670361702,824945.9248226966,1016522.5173333444,1069347.5631489393,774114.4103404275,1093842.990241135,1072471.1507304967,811897.4494042577,1004660.0665531951,963860.6164397232,714807.5153758958,895454.2684822761,986163.2118014257,681314.3415106435,937303.2555886536,912578.8766028417,1139570.5775177423,1208532.9213191622,1230277.5434042732,1005035.7321205762,1282486.7430496581,1245065.8045319263,957135.6553191524,1295173.35704965,1310157.122666679
7.87,735383.7040283724,1063167.7793404316,911800.5124255349,709568.2696383023,707286.3554539022,765330.5648226965,565630.5727801436,936434.9255319174,657846.0160000005,882149.9600000033,945944.1653333331,1287687.8080070973,730294.9980922012,820864.0378723416,745850.4746595762,717467.0320000047,1113141.7985319174,1108583.0292553222,655464.6360851049,760268.9120000018,682381.1365673773,434283.65574468125,515725.3198581549,618116.8234609934,375641.5699999975,544300.3119999993,562896.6053333331,845754.0830567405,850355.6603617115,769703.570248229,823971.4373333371,796994.4160000039,759604.7489858172,593533.8800000038,724373.2345815622,668074.8800000006
8.02,6820100.985915059,7906778.277489094,9288389.477475109,6000900.235063887,8247426.521191434,8978848.40585814,6306768.343205598,9031580.731077803,9132248.812858079,6046013.674893612,8143079.664964446,8228394.19719134,6019973.904893567,7931972.375503333,8661051.65297153,5961937.419822663,9056559.343496429,9074405.998623911,5497062.3200140605,7814272.084453763,7688865.69536862,5685790.2405530745,8165062.229652526,8614959.377474986,6180976.792226859,8669852.124467805,8855148.09268053,5864953.876085012,7677835.704709133,8785929.34608485,5756283.689148775,8308238.849077821,7492609.113914679,5950132.593872184,8670245.346567176,9134658.523659464
8.12,2970967.903744673,3104650.8567376616,3680572.947687948,2541227.249007089,3293262.787652512,3534086.824801442,2421556.752000036,3362274.4371348484,3338686.7187092104,4489947.454085108,5408213.738404218,5297102.4785815235,3511146.161475174,4533837.154978859,4744701.986510646,3007492.856000051,4509219.904879437,4499308.418014299,1018545.4052411355,1157112.8793333287,1110997.473758858,808175.6752482267,1087949.0341631176,1135597.3734964551,775297.2668226965,1067559.6833687956,1095193.5413333368,3383558.3985106284,3904596.5787234167,4599260.880794432,3464980.6500851875,4702343.794666799,4113976.5177305317,3429654.4841418993,4820179.038382982,5111682.351227022
